Weight Function,FixedWeightFunction-1.0,LinearWeightFunction-0.5,LinearWeightFunction-0.2,LinearWeightFunction-0.1,LinearWeightFunction-0.05,DecayWeightFunction--10.0,DecayWeightFunction--1.0,DecayWeightFunction--0.1,DecayWeightFunction--0.01,GaussianWeightFunction-0.0-1.5,GaussianWeightFunction-1.0-1.5,GaussianWeightFunction-2.0-1.5,GaussianWeightFunction-5.0-1.5,GaussianWeightFunction-10.0-1.5,
Reasoning Method,KNN,
Random Type:,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,
Fixed Sequence Simulation Global F1,0.6208334,0.6112518,0.62273854,0.61467254,0.62009597,0.62388134,0.62075853,0.6270961,0.6131146,0.61322004,0.6085367,0.6234667,0.6243203,0.61251014,
Smart Explorer Simulation Expected Actions,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Smart Explorer Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Explorer Simulation Matrix Accuracy,0.67242855,0.66985714,0.67142856,0.6662857,0.677,0.67728573,0.6668571,0.6717143,0.6704286,0.671,0.6717143,0.67957145,0.6725714,0.67971426,
Smart Explorer Simulation Global F1,0.47226414,0.46709642,0.46805668,0.45900065,0.47720972,0.48093206,0.4609506,0.47091466,0.4680133,0.46822262,0.47026196,0.48082238,0.46992564,0.4832074,

Random Type:,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,
k,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Iteration,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Smart Random Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Smart Random Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Random Simulation Matrix Accuracy,0.3524286,0.3507143,0.339,0.34685713,0.35557142,0.35385713,0.35942858,0.347,0.35857144,0.35157144,0.34842858,0.36528572,0.36485714,0.35042858,
Smart Random Simulation Global F1,0.3517485,0.35028356,0.3387093,0.345735,0.3548835,0.3524979,0.35841122,0.34635502,0.35785908,0.35055992,0.34781605,0.36442676,0.3641804,0.34887308,
Straight Line Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Straight Line Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Straight Line Simulation Matrix Accuracy,0.83357143,0.827,0.835,0.8287143,0.83485717,0.836,0.8324286,0.83914286,0.83342856,0.826,0.8405714,0.831,0.8317143,0.8332857,
Straight Line Simulation Global F1,0.83349663,0.82697344,0.8346383,0.8286316,0.83465254,0.8356927,0.8321487,0.8389375,0.83295417,0.8258662,0.840413,0.8310598,0.8315764,0.8332912,
Zig Zag Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Zig Zag Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Zig Zag Simulation Matrix Accuracy,0.82757145,0.82257146,0.8217143,0.82357144,0.8272857,0.8212857,0.81642854,0.82514286,0.82014287,0.8214286,0.81871426,0.81528574,0.8191429,0.8265714,
Zig Zag Simulation Global F1,0.7317178,0.7276343,0.719591,0.71871895,0.72515345,0.7171827,0.7169818,0.7261839,0.72055143,0.7180051,0.7214211,0.7002156,0.7150656,0.7275382,
Fixed Sequence Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fixed Sequence Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Fixed Sequence Simulation Matrix Accuracy,0.6251429,0.6201429,0.6127143,0.6202857,0.6182857,0.61557144,0.61985713,0.62285715,0.6314286,0.62128574,0.61957145,0.62,0.62057143,0.6165714,
Fixed Sequence Simulation Global F1,0.62603766,0.6206471,0.61351216,0.62122715,0.6192892,0.61663187,0.6206319,0.6241048,0.63257307,0.6221673,0.62025505,0.6211442,0.6214864,0.6177667,
Smart Explorer Simulation Expected Actions,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Smart Explorer Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Explorer Simulation Matrix Accuracy,0.6785714,0.6734286,0.66157144,0.66885716,0.666,0.671,0.669,0.6682857,0.6701428,0.6677143,0.66985714,0.67228574,0.6642857,0.66385716,
Smart Explorer Simulation Global F1,0.48274907,0.47380343,0.45015627,0.46631438,0.46173525,0.47026068,0.46489877,0.46222,0.4667986,0.4637302,0.4668917,0.46900082,0.4562634,0.45426026,

Random Type:,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,
k,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Iteration,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Smart Random Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Smart Random Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Random Simulation Matrix Accuracy,0.35285714,0.3577143,0.3417143,0.34285715,0.34342858,0.35385713,0.35057142,0.34428573,0.359,0.35957143,0.358,0.3382857,0.359,0.34414285,
Smart Random Simulation Global F1,0.35183036,0.3568397,0.34052765,0.34168586,0.34232324,0.3532073,0.34948465,0.34334183,0.35796645,0.35881066,0.35738298,0.337272,0.35831097,0.3434332,
Straight Line Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Straight Line Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Straight Line Simulation Matrix Accuracy,0.834,0.83614284,0.8312857,0.8295714,0.83414286,0.8354286,0.8345714,0.83285713,0.83214283,0.8407143,0.848,0.821,0.83985716,0.8332857,
Straight Line Simulation Global F1,0.8336974,0.83608335,0.83142275,0.82947695,0.8341456,0.8354458,0.83458024,0.8328376,0.8321404,0.8407566,0.84756494,0.82106483,0.8396975,0.8329209,
Zig Zag Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Zig Zag Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Zig Zag Simulation Matrix Accuracy,0.824,0.81614286,0.82285714,0.8272857,0.8231429,0.8242857,0.82271427,0.8215714,0.8158572,0.8232857,0.8288571,0.82114285,0.82842857,0.8212857,
Zig Zag Simulation Global F1,0.7285251,0.71682066,0.72762704,0.73682547,0.71722054,0.7176772,0.7223225,0.72748035,0.7121424,0.725417,0.726007,0.7269959,0.73334175,0.71468323,
Fixed Sequence Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fixed Sequence Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Fixed Sequence Simulation Matrix Accuracy,0.6207143,0.6248571,0.61457145,0.6227143,0.6272857,0.61542857,0.6117143,0.6225714,0.61142856,0.6112857,0.6108571,0.6207143,0.6182857,0.617,
